date,close,volume,total_bids,cover_ratio
2020-07-02,27.25,2717000,5065000,1.864
2020-07-03,27.0,2363000,4815500,2.038
2020-07-06,28.86,2717000,4590500,1.69
2020-07-07,29.34,2717000,5459000,2.009
2020-07-09,28.48,2717000,3226500,1.188
2020-07-10,27.66,2363000,2977000,1.26
2020-07-13,30.04,2717000,3719500,1.369
2020-07-14,29.2,2717000,4516000,1.662
2020-07-15,29.81,5332000,6180000,1.159
2020-07-16,28.13,3594000,4475500,1.245
2020-07-17,26.85,2363000,5567000,2.356
2020-07-20,26.85,3594000,5513500,1.534
2020-07-21,26.34,3594000,4724500,1.315
2020-07-23,26.76,3594000,7379500,2.053
2020-07-24,26.57,2363000,3896500,1.649
2020-07-27,25.53,3594000,5213500,1.451
2020-07-28,25.03,3594000,5462000,1.52
2020-07-29,25.96,5332000,8309000,1.558
2020-07-30,25.34,3594000,5038000,1.402
2020-07-31,26.3,2363000,4969500,2.103
2020-08-03,25.81,1797000,3131500,1.743
2020-08-04,25.95,1797000,3511500,1.954
2020-08-06,26.95,1797000,3896000,2.168
2020-08-07,26.16,1181500,2626500,2.223
2020-08-10,26.92,1797000,4055500,2.257
2020-08-11,26.71,1797000,3065000,1.706
2020-08-12,25.55,2666000,4574000,1.716
2020-08-13,25.94,1797000,3997500,2.225
2020-08-14,25.25,1181500,2265000,1.917
2020-08-17,25.42,1797000,3617500,2.013
2020-08-18,26.05,1797000,4303500,2.395
2020-08-20,25.7,1797000,3778000,2.102
2020-08-21,25.36,1181500,3094000,2.619
2020-08-24,26.6,1797000,3446000,1.918
2020-08-25,27.33,1797000,2813000,1.565
2020-08-26,28.42,2668500,5007500,1.877
2020-08-27,28.03,1901000,3857000,2.029
2020-08-28,29.5,1187000,2331000,1.964
2020-09-01,28.28,3952000,7145000,1.808
2020-09-04,28.8,2593000,5063500,1.953
2020-09-07,26.9,3952000,6105000,1.545
2020-09-08,27.25,3952000,5937000,1.502
2020-09-09,26.45,6398500,11583500,1.81
2020-09-10,27.46,3952000,7576000,1.917
2020-09-11,28.05,2593000,4600000,1.774
